,GEBRUIK,TT,UF,BT,RT,CBS English,NT,Historische notitie,Scope notitie
Afrika,999,geografie,999,geografie,999,Africa,"Tunesië, Somalië, Marokko, Ethiopië, Eritrea, Egypte",999,999
afschrijvingen,999,bedrijven,aflopende betalingen,bedrijfslasten,999,depreciation,afschrijvingen op vaste activa,999,999
afschrijvingen op vaste activa,999,bedrijven,999,afschrijvingen,999,depreciation on fixed assets,999,999,999
afsplitsing,opsplitsing,999,999,999,999,999,999,999,999
afstand,999,geografie,nabijheid,geografische begrippen,999,distance,999,999,999
afstroom,999,onderwijs,999,op/afstroom,999,downgrade ,999,999,999
afval,999,natuur en milieu,afvalstoffen,milieuproblematiek,999,waste,"wrakken, plantaardig afval, niet-hernieuwbaar afval, landbouwafval, industriëel afval, huishoudelijk afval, gevaarlijk afval, gescheiden afval, gemeentelijk afval, bedrijfsafval, afvalverwerking, afvaloliën",999,999
afvaloliën,999,natuur en milieu,999,afval,hernieuwbare energie,waste oils,999,999,999
afvalscheiding,gescheiden afval,999,999,999,999,999,999,999,999
afvalstoffen,afval,999,999,999,999,999,999,999,999
afvalstoffenbelasting,999,natuur en milieu,afvalstoffenheffing,milieuheffingen,999,waste disposal charges,999,999,999
afvalstoffenheffing,afvalstoffenbelasting,999,999,999,999,999,999,999,999
afvalstorten,999,natuur en milieu,999,afvalverwerking,999,waste disposal,999,999,999
afvaltransport,999,verkeer en vervoer,999,goederenclassificaties,999,waste transportation ,999,999,999
afvalverbranding,vuilverbranding,999,999,999,999,999,999,999,999
afvalvergisting,999,natuur en milieu,999,afvalverwerking,999,digestion of waste,999,999,999
afvalverwerking,999,natuur en milieu,999,afval,hernieuwbare energie,waste processing,"vuilverbranding, hergebruik, afvalvergisting, afvalstorten",999,999
afvalwater,999,natuur en milieu,rioolwater,waterverontreiniging,999,waste water,"inwonerequivalent, influent, effluent",999,999
afvalwaterzuiveringsinstallatie,999,natuur en milieu,"RWZI, rioolwaterzuiveringsinstallatie",waterverontreiniging,999,waste water treatment plant,999,999,999
afzetmarkt,999,bedrijven,999,productie,afzetprijzen,market area,999,999,999
afzetprijzen,999,prijzen,999,producentenprijzen,afzetmarkt,output prices,999,999,999
agrarisch gebied,agrarisch terrein,999,999,999,999,999,999,999,999
agrarisch natuurbeheer,999,landbouw en visserij,999,multi-functionele landbouw,999,agricultural nature management,999,999,999
agrarisch terrein,999,natuur en milieu,agrarisch gebied,bodemgebruik,landbouwgronden,agricultural land ,terrein voor glastuinbouw,999,999
agrarische dienstverlening,999,landbouw en visserij,999,landbouw,999,agricultural services,"loonbedrijven, hoveniersbedrijven",999,999
agrarische producten,landbouwproducten,999,999,999,999,999,999,999,999
agrarische sector,landbouw,999,999,999,999,999,999,999,999
agressie,999,veiligheid en recht,999,sociale veiligheid,999,agression,999,999,999
agricultuur,landbouw,999,999,999,999,999,999,999,999
agrifood,landbouwproducten,999,999,999,999,999,999,999,999
agro-ketens,999,landbouw en visserij,999,landbouwbeleid,999,agricultural chains,999,999,999
agro-toerisme,999,landbouw en visserij,999,multi-functionele landbouw,999,agritourism,999,999,999
agroproducten,landbouwproducten,999,999,999,999,999,999,999,999
AID,Algemene Inspectiedienst,999,999,999,999,999,999,999,999
aids,999,zorg en gezondheid,999,hiv,999,aids,999,999,999
akkerbouw,999,landbouw en visserij,999,landbouw,999,arable farming,999,999,999
akkerbouwgewassen,999,landbouw en visserij,999,landbouwgewassen,999,arable crops,999,999,999
akt,arbeidskrachtentelling,999,999,999,999,999,999,999,999
AKW,Algemene kinderbijslagwet,999,999,999,999,999,999,999,999
alarmeringen,meldingen,999,999,999,999,999,999,999,999
Albanië,999,geografie,999,Europa,999,Albania,999,999,999
alcohol,alcoholhoudende dranken,999,999,999,999,999,999,999,999
alcohol gebruik,alcoholgebruik,999,999,999,999,999,999,999,999
alcoholgebruik,999,zorg en gezondheid,"drinkers, drinken, drankgebruik, alcohol gebruik",middelengebruik,"consumptie, alcoholhoudende dranken",alcohol consumption ,"zware drinker, overmatige drinker, comazuipen",999,999
alcoholhoudende dranken,999,diensten,"sterke drank, slijterijen, slijter, alcohol",alcoholhoudende dranken en tabak,"drankindustrie, alcoholgebruik",alcoholic beverages,"wijn, bier",999,999
alcoholhoudende dranken en tabak,999,diensten,999,detailhandel,999,alcoholic beverages and tobacco,"tabak, alcoholhoudende dranken",999,999
alcoholvrije dranken,999,diensten,999,voedingsmiddelen en alcoholvrije dranken,999,non-alcoholic beverages,koffie- en theewinkels,999,999
Algemeen Bedrijven Register,999,bedrijven,ABR,bedrijven,"registertellingen, Kamer van Koophandel",General Business Register,bedrijfseenheid,999,999
algemeen bijzonder onderwijs,999,onderwijs,999,niet-confessionele scholen,999,general autonomous schools,ipad scholen,999,999
algemeen maatschappelijk werk,999,zorg en gezondheid,AMW,zorginstellingen,999,social work,999,999,999
algemeen voortgezet onderwijs,voortgezet onderwijs,999,999,999,999,999,999,999,999
algemeen vruchtbaarheidscijfer,tfr,999,999,999,999,999,999,999,999
algemeen ziekenhuis,algemene ziekenhuizen,999,999,999,999,999,999,999,999
Algemene arbeidsongeschiktheidswet,WAO,999,999,999,999,999,999,999,999
Algemene bijstandswet,Participatiewet,999,999,999,999,999,999,999,999
Algemene Inspectiedienst,999,veiligheid en recht,AID,bijzondere opsporingsdiensten,999,General Inspectorate (AID),999,999,999
Algemene kinderbijslagwet,999,arbeid en sociale zekerheid,AKW,volksverzekeringen,999,General Child Benefit Act (AKW),999,999,999
Algemene nabestaandenwet,999,arbeid en sociale zekerheid,Anw,volksverzekeringen,999,General Survivors Pension Act (ANW),999,999,999
Algemene ouderdomswet,999,arbeid en sociale zekerheid,AOW,volksverzekeringen,pensioenen,General Old Age Pension Act (AOW),AOW-leeftijd,999,999
Algemene Uitkeringen,999,overheid en politiek,999,rijksuitgaven,999,universal benefits,"provinciefonds, gemeentefonds",999,999
Algemene wet bijzondere ziektekosten,Wet langdurige zorg,999,999,999,999,999,999,999,999
algemene ziekenhuizen,999,zorg en gezondheid,algemeen ziekenhuis,ziekenhuizen,999,general hospitals,999,999,999
algen,wieren,999,999,999,999,999,999,999,999
alimentatie,999,veiligheid en recht,999,scheidingsrecht,999,alimony,"partneralimentatie, kinderalimentatie",999,999
alleengaanden,emigratie,999,999,999,999,999,999,999,999
alleenstaande minderjarige asielzoeker,alleenstaande minderjarige vreemdeling,999,999,999,999,999,999,999,999
alleenstaande minderjarige vreemdeling,999,bevolking,"AMV, AMA, alleenstaande minderjarige vreemdelingen, alleenstaande minderjarige asielzoeker",asielzoekers,voogdij asiel,unaccompanied minor foreign national,999,999,999
alleenstaande minderjarige vreemdelingen,alleenstaande minderjarige vreemdeling,999,999,999,999,999,999,999,999
alleenstaande moeders,999,bevolking,ongehuwde moeders,alleenstaande ouders,"werkende moeders, tienermoeders, buitenechtelijke geboorten",single mother,999,999,999
alleenstaande ouders,999,bevolking,999,ouders,eenoudergezin,single parent,alleenstaande moeders,999,999
alleenstaanden,eenpersoonshuishoudens,999,999,999,999,999,999,999,999
alleenwonen,eenpersoonshuishoudens,999,999,999,999,999,999,999,999
alleenwonenden,eenpersoonshuishoudens,999,999,999,999,999,999,999,999
allochtonen,migratieachtergrond,999,999,999,999,999,999,999,999
allochtonenprognose,999,bevolking,999,migratieachtergrond,999,immigration forecast,999,999,999
allochtoon,migratieachtergrond,999,999,999,999,999,999,999,999
Almere,999,overheid en politiek,999,Flevoland,999,Almere,999,999,999
alternatieve geneeskunde,999,zorg en gezondheid,"complementaire geneeskundige zorg, alternatieve geneeskundige zorg",gezondheidszorg,alternatieve genezers,alternative medicine,999,999,999
alternatieve geneeskundige zorg,alternatieve geneeskunde,999,999,999,999,999,999,999,999
alternatieve genezers,999,zorg en gezondheid,999,zorgaanbod,alternatieve geneeskunde,alternative healers,999,999,999
Alterra,999,landbouw en visserij,999,Wageningen UR,999,Alterra,999,999,999
aluminiumindustrie,999,industrie en energie,999,metaalindustrie,999,aluminum industry,999,999,999
Alzheimer,999,zorg en gezondheid,999,dementie,999,Alzheimer's disease,999,999,999
AMA,alleenstaande minderjarige vreemdeling,999,999,999,999,999,999,999,999
ambachtschool,lagere technische school,999,999,999,999,999,999,999,999
ambachtsschool,lagere technische school,999,999,999,999,999,999,999,999
ambtenaren,999,arbeid en sociale zekerheid,999,werknemers,999,civil servants,999,999,999
ambtenarenrecht,999,veiligheid en recht,999,rechtsgebieden,999,civil service law,999,999,999
ambulance,999,veiligheid en recht,999,hulpdiensten,999,ambulance,ambulancediensten,999,999
ambulancediensten,999,veiligheid en recht,999,ambulance,999,ambulance services,999,999,999
ambulante jeugdzorg,999,zorg en gezondheid,999,jeugdzorg,999,outpatient youth care,999,999,999
Amerika,999,geografie,999,geografie,999,America,"Zuid-Amerika, Noord-Amerika",999,999
amfibieen,999,natuur en milieu,999,fauna,999,amphibians,999,999,999
ammoniak,999,natuur en milieu,999,schadelijke stoffen,verzurende emissies,ammonia,999,999,999
Amsterdam,999,overheid en politiek,999,Noord-Holland,999,Amsterdam,999,999,999
amusementshallen,999,recreatie en cultuur,999,vermaak,999,amusement arcades,999,999,999
AMV,alleenstaande minderjarige vreemdeling,999,999,999,999,999,999,999,999
AMW,algemeen maatschappelijk werk,999,999,999,999,999,999,999,999
analfabetisme,999,zorg en gezondheid,ongeletterdheid,laaggeletterdheid,999,analphabetism,999,999,999
Andorra,999,geografie,999,Europa,999,Andorra,999,999,999
anorexia,999,zorg en gezondheid,ondergewicht,eetstoornis,999,anorexia,999,999,999
antibiotica,999,zorg en gezondheid,999,soorten geneesmiddelen,999,antibiotics,999,999,999
anticonceptie,999,zorg en gezondheid,geboortebeperking,geboorteregeling,999,contraceptives,anticonceptiemethode,999,999
anticonceptiemethode,999,zorg en gezondheid,voorbehoedsmiddelen,anticonceptie,999,contraceptive method,"spiraaltje, de pil, condooms",999,999
antraciet,999,industrie en energie,magerkool,steenkool,999,anthracite,999,999,999
antroposofisch onderwijs,vrije school,999,999,999,999,999,999,999,999
Anw,Algemene nabestaandenwet,999,999,999,999,999,999,999,999
AOW,Algemene ouderdomswet,999,999,999,999,999,999,999,999
AOW-inkomens,999,arbeid en sociale zekerheid,AOW-uitkeringen,ouderdomspensioenen,999,AOW incomes,999,999,999
AOW-leeftijd,999,arbeid en sociale zekerheid,pensioengerechtigde leeftijd,Algemene ouderdomswet,pensionering,AOW entitlement age,999,999,999
AOW-uitkeringen,AOW-inkomens,999,999,999,999,999,999,999,999
apotheken,999,zorg en gezondheid,"artsenijbereidkundige, apothekers",zorgondersteuning,999,pharmacies,999,999,999
apothekers,apotheken,999,999,999,999,999,999,999,999
appartement,999,bouwen en wonen,999,woningtype,999,apartment,999,999,999
applicaties,999,technologie,999,software,999,applications,999,999,999
apps,999,technologie,999,software,smartphones,apps,999,999,999
aquacultuur,999,landbouw en visserij,kweekvisserij,visserij,999,aquaculture,999,999,999
arbeid,999,arbeid en sociale zekerheid,999,arbeid en sociale zekerheid,999,labour,"potentiële beroepsbevolking, onbetaalde arbeid, enquête beroepsbevolking, beroepsclassificaties, arbeidsvoorwaarden, arbeidsomstandigheden, arbeidsmarkt, arbeidskrachtentelling",999,999
arbeid en sociale zekerheid,999,999,999,999,999,labour and social security,"sociale zekerheid, arbeid",999,999
arbeiders,werknemers,999,999,999,999,999,999,999,999
arbeidersbudgetten,huishoudbudget,999,999,999,999,999,999,999,999
arbeidsaanbod,beroepsbevolking,999,999,999,999,999,999,999,999
arbeidsbelasting,999,arbeid en sociale zekerheid,999,arbeidsomstandigheden,999,workload,"psychosociale arbeidsbelasting, fysieke arbeidsbelasting",999,999
arbeidscontract,arbeidspositie,999,999,999,999,999,999,999,999
arbeidsdeelname,beroepsbevolking,999,999,999,999,999,999,999,999
arbeidsduur,999,arbeid en sociale zekerheid,999,arbeidsvoorwaarden,999,working hours ,"potentiële arbeidsduur, overwerken, overeengekomen arbeidsduur, jaarlijkse arbeidsduur, gewerkte uren, gewenste arbeidsduur, gemiddelde arbeidsduur, contractuele arbeidsduur, betaalde arbeidsduur, arbeidsduurverkorting",999,999
arbeidsduurverkorting,999,arbeid en sociale zekerheid,"werktijdverkorting, atv, arbeidstijdverkorting, arbeidstijdsverkorting, ADV",arbeidsduur,999,reduced working hours,999,999,999
arbeidsgehandicapten,999,arbeid en sociale zekerheid,999,arbeidsmarkt,999,people with a work-limiting disability,999,999,999
arbeidsinkomens,999,inkomen en vermogen,looninkomen,inkomensbronnen,999,labour incomes ,999,999,999
arbeidsjaar,999,arbeid en sociale zekerheid,999,arbeidsvolume,999,labour year,999,999,999
arbeidskosten,personeelskosten,999,999,999,999,999,999,999,999
arbeidskracht,werknemers,999,999,999,999,999,999,999,999
arbeidskrachten,werknemers,999,999,999,999,999,999,999,999
arbeidskrachtentelling,999,arbeid en sociale zekerheid,akt,arbeid,vragenlijsten,labour survey,999,999,999
arbeidslonen,lonen,999,999,999,999,999,999,999,999
arbeidsmarkt,999,arbeid en sociale zekerheid,999,arbeid,999,labour market,"werkloosheid, werkgevers, werkgelegenheid, vakbonden, uitsluitingen, stakingen, re-integratie, ontslag, arbeidsmobiliteit, arbeidsmarktpositie, arbeidsgehandicapten",999,999
arbeidsmarktpositie,999,arbeid en sociale zekerheid,999,arbeidsmarkt,opleidingsniveau,employability,arbeidspositie,999,999
arbeidsmigranten,arbeidsmigratie,999,999,999,999,999,999,999,999
arbeidsmigratie,999,bevolking,arbeidsmigranten,migratie,buitenlandse werknemers,labour migration,expats,999,999
arbeidsmobiliteit,999,arbeid en sociale zekerheid,"verandering van baan, loopbaan, carrière, beroepsloopbaan",arbeidsmarkt,levensloop,labour mobility,999,999,999
arbeidsomstandigheden,999,arbeid en sociale zekerheid,"werkomstandigheden, vgwm, arbo",arbeid,999,working conditions,"ziekteverzuim, duurzame inzetbaarheid werknemers, bedrijfsgezondheidszorg, arbobegeleiding, arbeidsongevallen, arbeidsbelasting",999,999
arbeidsongeschiktheid,999,arbeid en sociale zekerheid,"arbeidsongeschiktheidsverzekeringen, arbeidsongeschiktheidsuitkeringen",sociale zekerheid,"WIA, WGA, Wet verbetering poortwachter, WAZ, WAO, Wajong, IVA",disablement,mate van arbeidsongeschiktheid,999,999
arbeidsongeschiktheidsuitkeringen,arbeidsongeschiktheid,999,999,999,999,999,999,999,999
arbeidsongeschiktheidsverzekeringen,arbeidsongeschiktheid,999,999,999,999,999,999,999,999
arbeidsongevallen,999,arbeid en sociale zekerheid,"bedrijfsongevallen, bedrijfsongelukken",arbeidsomstandigheden,999,accidents at work,999,999,999
arbeidsovereenkomst,arbeidspositie,999,999,999,999,999,999,999,999
arbeidsovereenkomst voor bepaalde tijd,tijdelijke banen,999,999,999,999,999,999,999,999
arbeidsovereenkomst voor onbepaalde tijd,vaste werknemers,999,999,999,999,999,999,999,999
arbeidsparticipatie,beroepsbevolking,999,999,999,999,999,999,999,999
arbeidsplaatsen,werkgelegenheid,999,999,999,999,999,999,999,999
arbeidspositie,999,arbeid en sociale zekerheid,"dienstverband, baanzekerheid, arbeidsverhouding, arbeidsrelatie, arbeidsovereenkomst, arbeidscontract",arbeidsmarktpositie,"werknemers, flexwerkers, arbeidsvoorwaarden",employment status,"soort baan, functie",999,999
arbeidsproductiviteit,999,macro-economie,999,bbp,productiviteit,labour productivity,999,999,999
arbeidsrecht,999,veiligheid en recht,999,rechtsgebieden,"ontslag, arbeidszaak",labour law,999,999,999
arbeidsrelatie,arbeidspositie,999,999,999,999,999,999,999,999
arbeidsreserve,onbenut arbeidsaanbod,999,999,999,999,999,999,999,999
arbeidstijdsverkorting,arbeidsduurverkorting,999,999,999,999,999,999,999,999
arbeidstijdverkorting,arbeidsduurverkorting,999,999,999,999,999,999,999,999
arbeidsverhouding,arbeidspositie,999,999,999,999,999,999,999,999
arbeidsvolume,999,arbeid en sociale zekerheid,999,werkgelegenheid,999,labour volume,arbeidsjaar,999,999
arbeidsvoorwaarden,999,arbeid en sociale zekerheid,999,arbeid,arbeidspositie,employment conditions,"vakantiedagen, regeling werktijden, lonen, collectieve regelingen, bedrijfsspaarregelingen, arbeidsduur",999,999
arbeidszaak,999,veiligheid en recht,999,kantonstrafzaak,arbeidsrecht,labour law dispute,ontslagzaak,999,999
arbo,arbeidsomstandigheden,999,999,999,999,999,999,999,999
arbobegeleiding,999,arbeid en sociale zekerheid,999,arbeidsomstandigheden,999,occupational health care,"reïntegratiebedrijven, arbodiensten",999,999
arbodiensten,999,arbeid en sociale zekerheid,999,arbobegeleiding,999,occupational health care services,999,999,999
archiefbewaarplaats,archieven,999,999,999,999,999,999,999,999
archiefdienst,archieven,999,999,999,999,999,999,999,999
archieffunctie,archieven,999,999,999,999,999,999,999,999
archiefwet,999,recreatie en cultuur,999,"wetten, archieven",999,Public Records Act,999,999,999
archieven,999,recreatie en cultuur,"historische bibliotheek, archieffunctie, archiefdienst, archiefbewaarplaats",cultuur,999,public records   ,"streekarchief, Rijksarchief, overheidsarchief, gemeentearchief, archiefwet",999,999
architecten,999,bouwen en wonen,999,bouwen,999,architects,ontwerpopdrachten,999,999
architecten- en ingenieursbureaus,999,diensten,999,zakelijke diensten,999,architectural and engineering firms,"ingenieursbureaus, architectenbureaus",999,999
architectenbureaus,999,diensten,999,"creatieve industrie, architecten- en ingenieursbureaus",999,architectural firms,999,999,999
areaal,999,geografie,"verspreidingsgebied, landbouwareaal",oppervlakte,999,acreage,999,999,999
armenhuizen,999,arbeid en sociale zekerheid,999,armenzorg,999,poor houses,999,999,999
armenzorg,999,arbeid en sociale zekerheid,"bedeling, armwezen",sociale zekerheid,zorg,poor relief,armenhuizen,"Tot de jaren vijftig van de 20e eeuw de benaming voor bedeling en ondersteuning van armen, en de instellingen waarin ze soms opgenomen werden.",999
armoede,999,inkomen en vermogen,999,sociaaleconomische status,"voedselbank, sociaal minimum",poverty ,"kansarm, financiële problemen",999,999
armoedegrens,sociaal minimum,999,999,999,999,999,999,999,999
armwezen,armenzorg,999,999,999,999,999,999,999,999
Arnhem,999,overheid en politiek,999,Gelderland,999,Arnhem,999,999,999
aromaten,999,industrie en energie,999,lichte olie,999,aromatics,999,999,999
arrest,einduitspraak,999,999,999,999,999,999,999,999
arrondissementen,999,veiligheid en recht,999,rechtsprekende organen,999,judicial district ,999,999,999
artritis,reumatische aandoeningen,999,999,999,999,999,999,999,999
artsenijbereidkundige,apotheken,999,999,999,999,999,999,999,999
asiel,asielvergunning,999,999,999,999,999,999,999,999
asiel en verblijf,asielrecht,999,999,999,999,999,999,999,999
